Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
Nina Merkulova,F,22,164,67.81,URS,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Noelle Barahona Neder,F,19,171,65.99,CHI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Nolan Kasper,M,24,173,79.71,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Noriyo Hiroi,F,21,161,64.22,JPN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Norman Bergamelli,M,22,170,72.74,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Nua Tome,F,23,163,60.91,YUG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
O Jae-Eun,F,22,164,55.68,KOR,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Odd Srli,M,29,185,79.15,NOR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Ole Kristian Furuseth,M,25,182,96.53,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
Olesya Murtazaliyevna Aliyeva,F,28,169,60.93,RUS,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Olga Charvtov (-Kriov),F,21,172,69.61,TCH,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Downhill,Bronze
Olga Pall (-Scartezzini),F,20,170,70.41,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Olha Lohinova,F,28,162,54.7,UKR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Olivier Jenot,M,17,173,63.57,MON,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Olof Christian Tobias Hellman,M,21,182,78.12,SWE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Ondej Bank,M,25,175,86.28,CZE,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Ong Ching-Ming,M,19,173,64.4,TPE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Ophlie David (Rcz-),F,17,172,62.32,HUN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Slalom,
Ornella Oettl Reyes,F,22,168,61.86,PER,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Osamu Kodama,M,27,164,63.98,JPN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Osamu Tada,M,24,170,60.94,JPN,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Downhill,
Oswald Ttsch,M,20,174,67.62,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Otmar Striedinger,M,22,184,92.28,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
"Otto Victor Tschudi, Jr.",M,19,175,67.57,NOR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Paavo Kalevi Hkkinen,M,27,178,79.07,FIN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Men's Giant Slalom,
Pamela Behr (-Knauth),F,15,163,58.4,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Panagiotis Alexandris,M,22,180,80.09,GRE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Paride Milianti,M,25,167,66.49,ITA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Giant Slalom,
Park Byung-Ro,M,21,174,70.55,KOR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Park Je-Yun,M,19,175,71.1,KOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Patricia Chauvet-Blanc,F,30,168,60.71,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
