Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
Stephanos Alexis Tsimikalis,M,24,178,82.92,GRE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Steve Locher,M,24,172,79.43,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Steve Missillier,M,25,186,81.23,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
"Steven ""Steve"" Nyman",M,23,193,101.55,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Steven Clifford,M,16,178,86.1,AUS,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Steven John Lee,M,21,183,83.83,AUS,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Stig Ivar Strand,M,23,175,75.81,SWE,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Suela Mhilli,F,20,163,56.88,ALB,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Susumu Sugiyama,M,23,165,55.57,JPN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Men's Downhill,
"Suzanne Stevia ""Suzy"" Chaffee",F,21,173,63.9,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
Svetlana Alekseyevna Gladysheva,F,22,170,74.03,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,
Svetlana Isakova,F,19,162,58.92,URS,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Downhill,
Szvetlana Keszthelyi (Pupiscseva-),F,22,172,66.68,HUN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Slalom,
Takuya Ishioka,M,22,176,83.93,JPN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Combined,
Tally Diyevich Monastyryov,M,24,172,73.32,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Tanja Tuulia Poutiainen (-Rinne),F,21,170,66.05,FIN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Teresa M. Bustamante,F,21,168,59.9,ARG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Downhill,
Tetiana Lebedeva,F,18,166,55.92,EUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Tetsuya Okabe,M,28,180,81.32,JPN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
"Theodore Sharp ""Ted"" Ligety",M,29,180,86.91,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Theres Obrecht,F,20,165,60.7,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Downhill,
Thomas Grandi,M,25,178,84.39,CAN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
Thomas Mermillod-Blondin,M,24,176,80.43,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Combined,
Thomas Stangassinger,M,26,180,82.46,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
"Thomas Sven ""Tommy"" Moe",M,27,178,90.34,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Tiiu Nurmberg,F,28,160,61.11,EST,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
"Timothy Matthew ""Tim"" Jitloff",M,29,180,92.33,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Tin iroki,M,18,168,72.94,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Tobias Barnerssoi,M,24,169,71.36,GER,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
Tobias Grnenfelder,M,32,180,84.58,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Todd Mitchell Haywood,M,24,171,75.84,NZL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Tom Stiansen,M,21,182,89.39,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Toril Marit Frland,F,17,170,58.85,NOR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Torill Fjeldstad,F,21,175,66.16,NOR,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Toshihiro Kaiwa,M,28,166,63.13,JPN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Toshimasa Furukawa,M,24,166,66.58,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Traudl Treichl,F,21,172,61.03,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Travis Scott Ganong,M,25,180,88.6,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Trevor Wansbrough Philp,M,21,181,80.87,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Trude Charlotte Gimle,F,23,174,74.91,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Truls Ove Karlsen,M,34,172,73.79,NOR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Tsuneo Noto,M,23,166,64.38,JPN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Tsuyoshi Tomii,M,26,173,79.35,JPN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Tuba Dademir-Kocaaa,F,28,165,62.85,TUR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Tyler Reuben Palmer,M,21,178,68.81,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Ulrike Maier,F,24,163,56.74,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Giant Slalom,
Urka Hrovat,F,17,170,63.64,SLO,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Uro Pavlovi,M,29,178,84.38,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Urs Klin,M,27,166,73.09,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,Silver
Urs Rber,M,25,171,77.96,SUI,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Valentina Dorcas Iliffe,F,23,175,64.08,GBR,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Valerie Scott,F,24,166,63.12,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Valery Ivanovich Tsyganov,M,27,180,80.47,URS,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Vanesa Rakedzhyan,F,25,160,58.87,ARM,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Vanessa Vidal,F,27,168,64.67,FRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Varvara Vladimirovna Zelenskaya (-Degeorges),F,29,178,77.77,RUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,
Vasilios Dimitriadis,M,31,180,89.26,GRE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Vasily Stepanovich Melnikov,M,20,171,72.26,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Vasily Viktorovich Bezsmelnitsyn,M,23,176,76.55,RUS,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Vedran Pavlek,M,20,174,79.48,CRO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Vera Yeremenko,F,22,170,60.6,KAZ,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Giant Slalom,
"Verena ""Vreni"" Schneider",F,29,170,68.72,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,Bronze
Verena Stuffer,F,29,168,66.04,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
"Veronika ""Vera"" Gnczi",F,22,163,53.25,HUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Giant Slalom,
Veronika arec,F,15,173,62.78,YUG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
Veronika Wallinger-Stallmaier,F,17,170,59.94,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Veronika Zuzulov (-Velez),F,17,172,72.44,SVK,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Vibecke Caroline Gedde-Dahl,F,20,166,63.14,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Vicente Vera,M,23,170,73.15,CHI,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Downhill,
Vicky Grau Muxella,F,18,164,65.63,AND,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Victor Gmez Javalera,M,20,174,75.58,AND,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Viktor Belyakov,M,21,173,70.35,URS,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Viktoria Rebensburg,F,24,170,67.66,GER,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Virgil Brenci,M,25,173,72.5,ROU,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Vitalijus Rumiancevas,M,20,178,71.13,LTU,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Vitaly Andreyev,M,22,183,83.01,EUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
Vladimir Ivanovich Makeyev,M,26,178,73.81,URS,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Vladimir Mikhaylovich Andreyev,M,17,183,78.51,URS,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Vladislav Dmitriyevich Novikov,M,20,170,75.95,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Vreni Inbnit,F,19,168,58.1,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
"Wallace Jerold ""Buddy"" Werner",M,27,170,78.95,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Wanda Bieler,F,20,160,52.64,ITA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Giant Slalom,
Wendy Holdener,F,20,168,63.16,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Wendy Irene Allen,F,23,163,56.55,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Wendy Lumby,F,21,155,52.12,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
Werner Bleiner,M,21,174,76.38,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Werner Perathoner,M,30,179,84.6,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
"Wilhelm Herman Bjrn ""Willy"" Bogner, Jr.",M,18,182,71.64,GER,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Giant Slalom,
Willi Frommelt,M,19,180,79.52,LIE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
"William B. ""Bill"" Gaylord",M,26,180,83.91,GBR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Combined,
William Besse,M,25,179,81.35,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
"William Charles ""Bill"" Marolt",M,20,178,81.85,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
"William Ryan ""Willy"" Raine",M,22,188,83.82,CAN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
"William Walker ""Bill"" Hudson",M,21,183,82.32,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
"William Winston ""Billy"" Kidd",M,24,174,75.58,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Willy Favre,M,20,178,73.78,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Wolfgang Bartels,M,23,184,82.73,GER,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Xavier Gigandet,M,25,176,78.87,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
Xia Lina,F,26,160,61.33,CHN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Yakup Kadri Birinci,M,20,165,54.7,TUR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Yannick Bertrand,M,25,175,87.65,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Downhill,
Yasuyuki Takishita,M,26,173,81.25,JPN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Yekaterina Nesterenko,F,21,164,59.23,RUS,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Downhill,
Yelena Olegovna Prosteva,F,19,163,56.6,RUS,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Downhill,
Yevgeniya Nikolayevna Kabina-Sidorova,F,33,164,66.08,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Downhill,
Yina Marie Moe-Lange,F,16,156,55.15,DEN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Ylva Hjrdis Sofia Nown,F,32,172,71.58,SWE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Giant Slalom,
Yoo Hye-Min,F,20,167,60.96,KOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Giant Slalom,
Yoshiharu Fukuhara,M,21,159,63.62,JPN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Yoshinari Kida,M,20,158,53.02,JPN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Yuliya Kharkivska,F,21,172,64.04,UKR,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Yury Milanovich Danilochkin,M,22,182,78.85,BLR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Yves Dimier,M,24,181,84.18,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Zali Steggall,F,27,175,75.55,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Zeki amilolu,M,26,169,67.38,TUR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Zhang Yuxin,M,24,177,71.02,CHN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
